Dataset,Experiment,Repository,URL,2D images,3D acquisitions,Assets
Data for: Axonal Structure-Function relationships across experimental modalities,Rat Corpus Callosum Axon TEM,Zenodo,https://doi.org/10.5281/zenodo.17476529,1,0,1
Data from: A serial multiplex immunogold labeling method for identifying peptidergic neurons in connectomes,Platynereis dumerilii Nerve Cord siGOLD Immunogold TEM,Dryad,https://doi.org/10.5061/dryad.c7366,12,0,12
Data from: Hepatic steatosis induced by nicotine plus Coca-Cola™ is prevented by nicotinamide riboside (NR),Mouse Liver Nicotine & Coca-Cola Steatosis TEM,Dryad,https://doi.org/10.5061/dryad.g1jwstqx7,15,0,15
Data from: Homeostasis of metabolites in Escherichia coli on transition from anaerobic to aerobic conditions and the transient secretion of pyruvate,E. coli PykF Immunogold TEM,Dryad,https://doi.org/10.5061/dryad.1n542,153,0,153
Data from: Open water camouflage via 'leaky' light guides in the midwater squid Galiteuthis,Galiteuthis Squid Eye Photophore TEM,Dryad,https://doi.org/10.5061/dryad.g703s,5,0,5
Data from: Phylogenetic distribution and expression pattern analyses identified a divergent basal body assembly protein involved in land plant spermatogenesis,Physcomitrium patens Spermatid TEM,Zenodo,https://doi.org/10.5281/zenodo.6546077,0,3,3
Data from: Three-dimensional reconstruction on cell level: case study elucidates the ultrastructure of the spinning apparatus of Embia sp. (Insecta: Embioptera),Embia Spinning Apparatus SBF-SEM,Dryad,https://doi.org/10.5061/dryad.vk3fg,0,1,1
Data set 01 - Giardia lamblia adherent SBF-SEM series,Adherent Cell SBF-SEM,Zenodo,https://doi.org/10.5281/zenodo.11196419,0,1,1
Data set 02 - Giardia lamblia adherent SBF-SEM series,Adherent Cell SBF-SEM,Zenodo,https://doi.org/10.5281/zenodo.11197168,0,1,1
Data set 04 - HeLa adherent SBF-SEM series,Adherent Cell SBF-SEM,Zenodo,https://doi.org/10.5281/zenodo.11198586,0,1,1
Data set 05 - HeLa adherent SBF-SEM series,Adherent Cell SBF-SEM,Zenodo,https://doi.org/10.5281/zenodo.11198691,0,1,1
Data set 06 - HeLa adherent SBF-SEM series,Adherent Cell SBF-SEM,Zenodo,https://doi.org/10.5281/zenodo.11199320,0,1,1
Data set 07 - HeLa adherent SBF-SEM series,Adherent Cell SBF-SEM,Zenodo,https://doi.org/10.5281/zenodo.11199433,0,1,1
Data set 08 - HeLa adherent SBF-SEM series,Adherent Cell SBF-SEM,Zenodo,https://doi.org/10.5281/zenodo.11202406,0,1,1
Data set 09 - HeLa adherent SBF-SEM series,Adherent Cell SBF-SEM,Zenodo,https://doi.org/10.5281/zenodo.11203027,0,2,2
Data set 10 - HeLa adherent SBF-SEM series,Adherent Cell SBF-SEM,Zenodo,https://doi.org/10.5281/zenodo.11203782,0,1,1
Dataset of microscopy (Confocal and electron) - Outer epidermal edges mediate cell-cell adhesion for tissue integrity in plants,Arabidopsis Hypocotyl Epidermis Cell Adhesion TEM,Zenodo,https://doi.org/10.5281/zenodo.15125559,476,0,476
Dataset- Creating a Virtual Leaf,Chickpea Leaf SBF-SEM,Zenodo,https://doi.org/10.5281/zenodo.7943403,0,2,2
DeepContact training data,Membrane Contact Site EM Training Data,figshare,https://doi.org/10.6084/m9.figshare.19898404.v3,269,0,269
DeepFocus Dataset 1.0,DeepFocus SEM Focus and Astigmatism Benchmark,Zenodo,https://doi.org/10.5281/zenodo.8416524,47,0,47
Denk and Horstmann 2004 rat cortex SBF-SEM,Rat Cerebral Cortex SBF-SEM,WEBKNOSSOS,https://webknossos.org/datasets/denk2004-5bfd0b1c0100003f3574cc8e,0,1,1
Desmosomes in A431 Cells - aic_desmosome-2 (FIB-SEM),A431 Cell Desmosome-ER FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.22670176,0,1,1
Desmosomes in A431 Cells - aic_desmosome-3 (FIB-SEM),A431 Cell Desmosome-ER FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.22675078,0,1,1
Desmosomes in A431 Cells FIB-SEM Volume,A431 Cell Desmosome FIB-SEM,OpenOrganelle,https://openorganelle.janelia.org/datasets/aic_desmosome-1,0,1,1
Developing retina in zebrafish 55 hpf larval eye,Developing Zebrafish Retina SBF-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-11759,0,1,1
Development of protocols for the first serial block-face scanning electron microscopy (SBF SEM) studies of bone tissue,Mammalian Bone Osteocyte SBF-SEM,Institutional repository,https://doi.org/10.5258/SOTON/D1089,0,1,1
Diabetic Human Capillary 1,Mouse & Human Diabetic Retinal Capillary SBF-SEM,Zenodo,https://doi.org/10.5281/zenodo.15164577,0,1,1
Diabetic Human Capillary 2,Mouse & Human Diabetic Retinal Capillary SBF-SEM,Zenodo,https://doi.org/10.5281/zenodo.15164581,0,1,1
Diabetic Human Capillary 3,Mouse & Human Diabetic Retinal Capillary SBF-SEM,Zenodo,https://doi.org/10.5281/zenodo.15164589,0,1,1
Diabetic Mouse 1 Capillary 1,Mouse & Human Diabetic Retinal Capillary SBF-SEM,Zenodo,https://doi.org/10.5281/zenodo.15164369,0,1,1
Diabetic Mouse 1 Capillary 2,Mouse & Human Diabetic Retinal Capillary SBF-SEM,Zenodo,https://doi.org/10.5281/zenodo.15164375,0,1,1
Diabetic Mouse 1 Capillary 3,Mouse & Human Diabetic Retinal Capillary SBF-SEM,Zenodo,https://doi.org/10.5281/zenodo.15164386,0,1,1
Diabetic Mouse 2 Capillary 1,Mouse & Human Diabetic Retinal Capillary SBF-SEM,Zenodo,https://doi.org/10.5281/zenodo.15164392,0,1,1
Diabetic Mouse 2 Capillary 2,Mouse & Human Diabetic Retinal Capillary SBF-SEM,Zenodo,https://doi.org/10.5281/zenodo.15164395,0,1,1
Diabetic Mouse 2 Capillary 3,Mouse & Human Diabetic Retinal Capillary SBF-SEM,Zenodo,https://doi.org/10.5281/zenodo.15164403,0,1,1
Diabetic Mouse 3 Capillary 1,Mouse & Human Diabetic Retinal Capillary SBF-SEM,Zenodo,https://doi.org/10.5281/zenodo.15164465,0,1,1
Diabetic Mouse 3 Capillary 2,Mouse & Human Diabetic Retinal Capillary SBF-SEM,Zenodo,https://doi.org/10.5281/zenodo.15164473,0,1,1
Diabetic Mouse 3 Capillary 3,Mouse & Human Diabetic Retinal Capillary SBF-SEM,Zenodo,https://doi.org/10.5281/zenodo.15164479,0,1,1
Diplonemid Protist TEM Images,Diplonemid Protist TEM,Zenodo,https://doi.org/10.5281/zenodo.16882378,46,0,46
Dividing HeLa Cell FIB-SEM at 11.2 min after anaphase onset,Dividing HeLa Cell FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-10109,0,1,1
Dividing HeLa Cell FIB-SEM at 3.1 min after anaphase onset,Dividing HeLa Cell FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-10100,0,1,1
Dividing HeLa Cell FIB-SEM at 3.9 min after anaphase onset,Dividing HeLa Cell FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-10102,0,1,1
Dividing HeLa Cell FIB-SEM at 4.3 min after anaphase onset,Dividing HeLa Cell FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-10103,0,1,1
Dividing HeLa Cell FIB-SEM at 6.3 min after anaphase onset,Dividing HeLa Cell FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-10101,0,1,1
Dl-3-n-butylphthalide alleviates cognitive impairment induced by chronic cerebral hypoperfusion via inhibiting the mitochondrial permeability transition pore opening and excessive mitophagy,Rat Hippocampus Chronic Cerebral Hypoperfusion TEM,Zenodo,https://doi.org/10.5281/zenodo.14253010,9,0,9
"Dopamine Axon Connectome Volumes (NAc/VTA, saline and cocaine)",Mouse Nucleus Accumbens Dopamine Axon Cocaine SEM,BossDB,https://doi.org/10.60533/BOSS-2021-YA04,0,13,13
Drosophila brain: Accessory calyx,Drosophila melanogaster Brain Accessory Calyx FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.13114514,0,1,1
Drosophila brain: Entire alpha and alpha' lobes of a mushroom body,Drosophila Mushroom Body Alpha Lobes FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.16638268,0,1,1
Drosophila brain: Fan-shaped body,Drosophila Brain Fan-Shaped Body FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.24222598,0,1,1
Drosophila brain: Fan-shaped body,Drosophila melanogaster Brain Fan-Shaped Body FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.13114529,0,1,1
Drosophila brain: protocerebral bridge,Drosophila Brain Protocerebral Bridge FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.24222652,0,1,1
Drosophila ellipsoid body,Drosophila Ellipsoid Body FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.24221404,0,1,1
Drosophila gut,Drosophila Gut TEM,Zenodo,https://doi.org/10.5281/zenodo.6567258,1,0,1
Drosophila Hemibrain FIB-SEM Volume,Drosophila Central Brain Hemibrain FIB-SEM,WEBKNOSSOS,https://webknossos.org/datasets/flyem_hemibrain-6128c212010000a100ca0fd6/view,0,1,1
Drosophila Larval Abdominal ssTEM (acardona_abd1_5),Drosophila Larval CNS ssTEM,BossDB,https://doi.org/10.60533/BOSS-2015-WYEW,0,1,1
Drosophila Medulla Seven-Column FIB-SEM Volume,Drosophila Medulla Seven-Column FIB-SEM,WEBKNOSSOS,https://webknossos.org/datasets/FIB-25_wkw-5bd881bc010000f22e3db5fb/view,0,1,1
Drosophila muscle,Drosophila Muscle TEM,Zenodo,https://doi.org/10.5281/zenodo.6569281,1,0,1
Drosophila mushroom body,Drosophila Mushroom Body Alpha Lobe FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.27075448,0,1,1
Drosophila Optic Medulla Serial-Section TEM Volume,Drosophila Optic Medulla Connectome TEM,BossDB,https://doi.org/10.60533/BOSS-2013-49GZ,0,1,1
