model,organelle,dataset,dataset_label,crop_id,coverage,voxel_nm,source_image,target_nm,infer_s,dice,iou,precision,recall,f1,accuracy,specificity,tp,fp,fn,tn,gt_area,pred_area,eval_area,gt_frac,cldice,boundary_f1,status
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00227,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_1123.tif,20.0,0.183,0.0,0.0,0.0,0.0,0.0,0.999736,0.999998,0,27,4406,16772783,4406,27,2738185,0.001609,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00228,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_1157.tif,20.0,0.458,0.0,0.0,0.0,0.0,0.0,0.999583,0.999998,0,39,6956,16770221,6956,39,2948024,0.00236,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00229,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_1157.tif,20.0,0.528,0.0,0.0,0.0,0.0,0.0,0.999386,0.999997,0,46,10248,16766922,10248,46,2736176,0.003745,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00230,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_1191.tif,20.0,0.149,0.0,0.0,nan,0.0,0.0,0.999137,1.0,0,0,14478,16762738,14478,0,2936250,0.004931,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00231,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_1191.tif,20.0,0.156,0.0,0.0,nan,0.0,0.0,0.999595,1.0,0,0,6787,16770429,6787,0,2718576,0.002497,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00232,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_1225.tif,20.0,0.239,0.0,0.0,0.0,0.0,0.0,0.998734,0.999843,0,2623,18609,16755984,18609,2623,3230850,0.00576,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00233,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_1225.tif,20.0,0.223,0.0,0.0,0.0,0.0,0.0,0.999325,1.0,0,2,11328,16765886,11328,2,3120350,0.00363,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00234,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_1259.tif,20.0,0.317,0.056543,0.029094,0.133518,0.035866,0.056543,0.998757,0.999758,625,4056,16801,16755734,17426,4681,3271632,0.005326,0.0,0.055215,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00235,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_1259.tif,20.0,0.275,0.063008,0.032529,0.315227,0.035002,0.063008,0.998693,0.999904,737,1601,20319,16754559,21056,2338,3143232,0.006699,0.0,0.036474,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00236,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_1293.tif,20.0,0.293,0.0,0.0,0.0,0.0,0.0,0.999664,0.999896,0,1740,3895,16771581,3895,1740,3567375,0.001092,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00239,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_1327.tif,20.0,0.239,0.0,0.0,nan,0.0,0.0,0.999954,1.0,0,0,770,16776446,770,0,3112160,0.000247,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00240,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_1361.tif,20.0,0.308,0.0,0.0,0.0,0.0,0.0,0.999635,0.999922,0,1313,4810,16771093,4810,1313,3211494,0.001498,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00241,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_1361.tif,20.0,0.266,0.0,0.0,0.0,0.0,0.0,0.999755,0.999978,0,367,3737,16773112,3737,367,3108490,0.001202,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00242,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_1395.tif,20.0,0.271,0.0,0.0,0.0,0.0,0.0,0.999554,0.999907,0,1568,5919,16769729,5919,1568,3218708,0.001839,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00243,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_1395.tif,20.0,0.329,0.0,0.0,0.0,0.0,0.0,0.999673,0.999965,0,586,4903,16771727,4903,586,3175038,0.001544,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00244,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_1429.tif,20.0,0.202,0.0,0.0,0.0,0.0,0.0,0.999082,0.999765,0,3940,11463,16761813,11463,3940,3303445,0.00347,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00245,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_1429.tif,20.0,0.294,0.0,0.0,0.0,0.0,0.0,0.99931,0.999618,0,6414,5159,16765643,5159,6414,3328911,0.00155,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00246,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_1463.tif,20.0,0.164,0.0,0.0,nan,0.0,0.0,0.999572,1.0,0,0,7177,16770039,7177,0,3136481,0.002288,0.0,0.0,ok
